h1,h2,h3,a1,a2,a3
-0.198834,0.053121,0.322091,-0.170694,0.026561,0.308237
-0.142643,0.088122,0.375152,-0.148899,0.052048,0.335752
-0.215618,0.00541,0.286423,-0.180431,-0.002519,0.285875
-0.166154,-0.006975,0.382535,-0.180269,0.016925,0.318727
-0.228096,0.012829,0.289337,-0.190714,0.011566,0.294251
-0.22768,0.023026,0.287422,-0.190896,0.012361,0.29158
-0.203264,0.078125,0.307442,-0.18197,0.050551,0.298642
-0.147772,0.127891,0.364421,-0.17583,0.113867,0.313082
-0.113352,0.139544,0.368851,-0.17212,0.159395,0.298894
-0.122908,0.112746,0.385518,-0.145794,0.082097,0.348214
-0.103021,0.068981,0.397761,-0.140716,0.080708,0.354633
-0.151654,0.035273,0.354707,-0.175247,0.00287,0.314259
-0.112468,0.119682,0.35803,-0.141608,0.12817,0.337758
-0.109901,0.121821,0.358076,-0.138134,0.118896,0.342135
-0.219584,-0.007565,0.317305,-0.19679,0.004994,0.299979
-0.096821,0.110192,0.376758,-0.136255,0.094626,0.348002
-0.199349,0.084371,0.240869,-0.205935,0.054989,0.221141
-0.126605,0.093532,0.37727,-0.145312,0.062749,0.337561
-0.171429,0.093417,0.318923,-0.171666,0.060225,0.302296
-0.107239,0.078883,0.388719,-0.146224,0.070244,0.350584
-0.125126,0.060484,0.414079,-0.146964,0.099005,0.35609
-0.210715,0.025257,0.240434,-0.194815,0.011735,0.233116
-0.106796,0.139781,0.367621,-0.165994,0.169643,0.300856
-0.104827,0.142306,0.372936,-0.167712,0.156618,0.306452
-0.113344,0.139942,0.376611,-0.169487,0.139374,0.312569
-0.123044,-0.063708,0.371305,-0.198681,-0.009619,0.29524
-0.202493,0.071811,0.345443,-0.187583,0.044776,0.321753
-0.220965,0.029984,0.332276,-0.19945,0.028185,0.31518
-0.216779,0.017876,0.326048,-0.191815,0.011636,0.307416
-0.208838,-0.040585,0.243295,-0.198608,-0.015963,0.234361
-0.170149,0.111553,0.358526,-0.175121,0.08513,0.323435
-0.213084,-0.022913,0.286457,-0.187597,-0.008489,0.28105
-0.209833,-0.038913,0.276705,-0.192136,-0.013309,0.272437
-0.216168,-0.013037,0.246818,-0.191239,-0.0071,0.24672
-0.13749,-0.038613,0.365477,-0.19336,-0.009024,0.297291
-0.216305,-0.048171,0.263254,-0.226494,-0.004127,0.27341
-0.214302,-0.072898,0.270869,-0.233016,-0.00584,0.262943
-0.184592,0.100696,0.264203,-0.211726,0.113063,0.220113
-0.090484,0.129552,0.377129,-0.139302,0.137901,0.340659
-0.140085,0.114142,0.365955,-0.160439,0.088529,0.327639
-0.142668,0.090293,0.315888,-0.176,0.112951,0.299861
-0.231382,0.066119,0.239839,-0.219412,0.053466,0.229894
-0.227021,0.07692,0.241726,-0.220652,0.059441,0.222289
-0.229641,-0.005351,0.230832,-0.209862,0.001146,0.232213
-0.0859,0.119467,0.368299,-0.130856,0.146589,0.343206
-0.238858,-0.042071,0.227193,-0.229125,0.002765,0.233968
-0.15759,0.116382,0.31774,-0.180857,0.120245,0.293004
-0.192207,0.074388,0.295367,-0.17798,0.042024,0.287796
-0.214543,0.011912,0.24027,-0.190362,0.00146,0.244975
-0.083265,0.153341,0.376073,-0.120461,0.17123,0.344812
-0.120262,0.136447,0.353025,-0.173533,0.169932,0.28578
-0.158251,0.13583,0.322941,-0.192879,0.138758,0.26799
-0.231773,0.059082,0.226096,-0.224351,0.045952,0.196211
-0.227975,0.055423,0.300613,-0.199316,0.038451,0.301594
-0.204322,0.060572,0.349766,-0.188694,0.042045,0.325081
-0.07998,0.120447,0.370605,-0.122798,0.160969,0.345681
-0.21156,0.031057,0.306894,-0.213348,0.014371,0.307636
-0.100623,0.124062,0.364955,-0.140807,0.144602,0.335282
-0.146523,0.131855,0.334352,-0.182845,0.146068,0.280475
-0.227821,0.029922,0.280576,-0.193756,0.015023,0.284912
-0.18205,-0.083195,0.265881,-0.232999,-0.021353,0.212637
-0.216283,-0.024364,0.253419,-0.195215,-0.013799,0.254828
-0.214844,-0.024582,0.248406,-0.194113,-0.013439,0.246763
-0.187855,0.136499,0.280206,-0.213146,0.142937,0.207508
-0.209637,0.018544,0.231483,-0.199261,0.013031,0.208249
-0.204793,0.112831,0.239043,-0.216556,0.115416,0.171568
-0.241601,-0.029349,0.225859,-0.2282,0.005619,0.233931
-0.078528,0.151124,0.376362,-0.119696,0.160239,0.348922
-0.180623,0.103744,0.352814,-0.175876,0.078245,0.326163
-0.213619,-0.024845,0.242801,-0.195784,-0.012086,0.238766
-0.161369,0.112872,0.314344,-0.181162,0.132421,0.285697
-0.147992,0.087666,0.311888,-0.170381,0.097529,0.302977
-0.182502,0.055373,0.350685,-0.200728,0.026414,0.324461
-0.14569,0.102806,0.339157,-0.208077,0.111949,0.241367
-0.085739,0.104157,0.361542,-0.121978,0.173536,0.336456
-0.150582,0.160866,0.32038,-0.127764,0.175204,0.330383
-0.177689,0.108221,0.283707,-0.18748,0.087413,0.281082
-0.084951,0.105111,0.361733,-0.119584,0.172186,0.339078
-0.202791,0.091198,0.327792,-0.187324,0.066209,0.312647
-0.125359,0.11105,0.383432,-0.149548,0.080007,0.344395
-0.137448,-0.014811,0.401716,-0.171779,0.028988,0.333012
-0.085601,0.117946,0.36943,-0.112184,0.171964,0.346109
-0.100988,0.136826,0.37478,-0.166522,0.155113,0.308372
-0.169939,0.131963,0.295676,-0.20643,0.151682,0.229094
-0.086164,0.111605,0.363642,-0.129891,0.133877,0.347292
-0.165796,0.116271,0.358718,-0.172402,0.088476,0.32608
-0.093863,0.102642,0.36049,-0.131545,0.129723,0.344139
-0.092253,0.110061,0.363104,-0.126328,0.130607,0.347865
-0.14794,0.092617,0.321297,-0.146067,0.04849,0.321697
-0.198031,-0.001644,0.26124,-0.163943,-0.013302,0.256715
-0.183989,-0.002446,0.338816,-0.193988,-0.000067,0.301898
-0.183885,-0.050011,0.278123,-0.174709,-0.029604,0.252998
-0.208062,-0.004458,0.315287,-0.17938,-0.006275,0.292427
-0.103387,0.131771,0.389033,-0.143411,0.122888,0.346869
-0.217026,-0.009205,0.25133,-0.190253,-0.006379,0.254141
-0.159075,0.091618,0.365434,-0.158811,0.053062,0.329536
-0.177508,0.121605,0.292601,-0.202874,0.137508,0.239008
-0.233592,-0.019764,0.29632,-0.212098,0.011332,0.295013
-0.207611,0.037617,0.280421,-0.174649,0.016489,0.285473
-0.141886,0.115815,0.381046,-0.156599,0.085992,0.343022
-0.218745,-0.038426,0.289675,-0.203887,-0.005635,0.284627
-0.161939,0.081336,0.342942,-0.158237,0.054539,0.319531
-0.228512,-0.005977,0.262588,-0.195937,0.002236,0.271927
-0.172254,0.083744,0.288177,-0.16515,0.043695,0.297312
-0.113969,0.131757,0.354248,-0.167415,0.170228,0.296919
-0.112888,0.112875,0.348976,-0.154186,0.131275,0.323042
-0.14829,0.12427,0.330251,-0.1765,0.128239,0.295443
-0.161388,-0.014348,0.326487,-0.172946,-0.025049,0.277789
-0.196357,-0.001955,0.276209,-0.160821,-0.013817,0.265266
-0.204684,0.068424,0.308103,-0.176783,0.036801,0.299666
-0.197076,0.059186,0.237367,-0.196544,0.035502,0.218812
-0.231512,0.039999,0.216537,-0.219927,0.029816,0.195927
-0.226549,-0.061245,0.219466,-0.229645,-0.006664,0.201852
-0.073708,0.150363,0.377431,-0.116031,0.160191,0.351763
-0.216096,0.056652,0.259939,-0.194605,0.036835,0.265907
-0.151582,0.116273,0.325991,-0.167299,0.150964,0.299767
-0.158645,0.126129,0.315871,-0.193183,0.161553,0.249358
-0.094259,0.111912,0.362509,-0.130182,0.120398,0.346357
-0.234118,0.027621,0.218751,-0.221343,0.025277,0.200921
-0.130185,0.057098,0.357391,-0.145158,0.004928,0.313051
-0.221949,0.002157,0.227628,-0.204584,0.0055,0.220367
-0.121792,-0.022589,0.37305,-0.160125,-0.017293,0.292475
-0.231051,0.053585,0.278137,-0.199155,0.036001,0.286212
-0.147557,-0.065634,0.324951,-0.192113,-0.030905,0.259151
-0.101054,0.133374,0.386571,-0.147949,0.134349,0.337927
-0.166734,0.116963,0.305242,-0.18553,0.104463,0.289347
-0.184729,0.073709,0.248728,-0.214092,0.089771,0.189461
-0.183565,0.052621,0.243025,-0.214747,0.068415,0.185792
-0.194818,0.076687,0.262198,-0.183594,0.038846,0.272689
-0.220269,-0.000952,0.221928,-0.206273,0.006688,0.207017
-0.113105,0.132388,0.381946,-0.153944,0.127816,0.333627
-0.100855,0.13484,0.387225,-0.142278,0.132559,0.344563
-0.143608,0.031322,0.359905,-0.171227,0.001689,0.312967
-0.196973,0.009191,0.331316,-0.17319,-0.002958,0.299989
-0.143001,0.129908,0.357395,-0.186616,0.123912,0.290989
-0.210739,-0.008679,0.237606,-0.192118,-0.006694,0.22578
-0.20134,0.070904,0.232632,-0.205923,0.048416,0.210552
-0.206898,0.028669,0.234586,-0.194538,0.010586,0.220025
-0.219233,-0.004226,0.311561,-0.192193,0.001917,0.29531
-0.169918,0.134002,0.297176,-0.201555,0.16695,0.227921
-0.185249,0.032426,0.30514,-0.154546,0.000472,0.286768
-0.080466,0.129431,0.383531,-0.163356,0.168454,0.303725
-0.169303,-0.026078,0.308544,-0.184144,-0.028504,0.269449
-0.218884,-0.008064,0.311084,-0.189438,0.001596,0.298597
-0.178335,0.099576,0.354985,-0.174847,0.066015,0.324677
-0.187585,0.018957,0.305774,-0.153793,-0.004693,0.286392
-0.1528,0.101777,0.358555,-0.157919,0.076222,0.327929
-0.13326,0.107134,0.374896,-0.149321,0.080157,0.339098
-0.16028,0.102052,0.30832,-0.165025,0.083499,0.313564
-0.156578,0.081573,0.301928,-0.165786,0.069318,0.304411
-0.128781,0.113868,0.342607,-0.154345,0.110839,0.325248
-0.189417,0.080271,0.282056,-0.181295,0.041232,0.278205
-0.188325,0.089005,0.265119,-0.195768,0.067153,0.251231
-0.226398,-0.025111,0.246646,-0.205115,-0.00525,0.252385
-0.208351,-0.008451,0.232957,-0.194578,-0.006625,0.207574
-0.178595,0.092356,0.282171,-0.176182,0.064247,0.288917
-0.072913,0.091369,0.376128,-0.131904,0.06501,0.344659
-0.239142,-0.026457,0.227724,-0.221153,0.00215,0.246844
-0.200966,0.0399,0.241184,-0.211572,0.037051,0.190031
-0.105248,0.089696,0.349332,-0.15807,0.163557,0.307936
-0.181994,0.043172,0.251213,-0.216375,0.109556,0.179488
-0.140329,0.010864,0.357847,-0.156574,-0.011196,0.296552
-0.192674,0.086691,0.303933,-0.184558,0.057342,0.288685
-0.166128,0.102218,0.302025,-0.174442,0.079469,0.301308
-0.17256,0.11839,0.326519,-0.189901,0.10312,0.286673
-0.177258,0.073909,0.291135,-0.16146,0.02861,0.29339
-0.172754,0.056642,0.27741,-0.185512,0.056572,0.268061
-0.155133,0.0727,0.3664,-0.150897,0.031236,0.327897
-0.127301,0.000676,0.405796,-0.169329,0.042792,0.344157
-0.14754,0.009296,0.399367,-0.177967,0.035255,0.33672
-0.206567,0.046291,0.34576,-0.184876,0.029623,0.320629
-0.194971,0.125114,0.26635,-0.213597,0.136339,0.190052
-0.074822,0.152198,0.375781,-0.117762,0.15385,0.351274
-0.150021,0.091982,0.322817,-0.145775,0.045924,0.321792
-0.225215,-0.005654,0.260127,-0.190664,-0.000331,0.275499
-0.160436,0.000644,0.35407,-0.156662,-0.009831,0.294086
-0.175559,0.011713,0.336571,-0.153416,-0.010477,0.293357
-0.170742,0.010089,0.387693,-0.179443,0.02901,0.329055
-0.144992,0.092711,0.31928,-0.165889,0.089968,0.312956
-0.195975,-0.009088,0.28511,-0.162026,-0.017262,0.273138
-0.223722,0.002945,0.249182,-0.191313,0.001936,0.26023
-0.238187,-0.008572,0.23779,-0.211336,0.003623,0.255557
-0.170387,0.089077,0.34338,-0.164006,0.061496,0.319926
-0.150025,-0.060913,0.347203,-0.192563,-0.016754,0.28263
-0.13071,-0.073282,0.354733,-0.199643,-0.019405,0.278661
-0.154179,-0.085953,0.348538,-0.220477,-0.007176,0.281676
-0.235029,-0.036792,0.256224,-0.215692,0.00022,0.264218
-0.105325,0.129269,0.364437,-0.148144,0.1506,0.32671
-0.174015,-0.024978,0.314565,-0.19444,-0.016619,0.282162
-0.147724,0.076123,0.311713,-0.195554,0.148869,0.256055
-0.198917,0.006907,0.265242,-0.166385,-0.006362,0.259847
-0.13622,0.136171,0.346924,-0.172226,0.146719,0.301765
-0.219623,0.029692,0.245476,-0.196384,0.013645,0.248732
-0.192036,-0.041632,0.260195,-0.173629,-0.026201,0.242416
-0.156824,0.145377,0.329284,-0.198485,0.167504,0.235023
-0.123453,-0.069447,0.353479,-0.184567,-0.026661,0.270896
-0.172556,0.07357,0.358997,-0.159606,0.035122,0.326492
-0.153276,0.06707,0.362005,-0.164219,0.024579,0.327828
-0.18203,0.076561,0.257011,-0.210833,0.086189,0.214611
-0.185393,0.063228,0.27904,-0.162247,0.019516,0.286384
-0.228888,-0.022197,0.212593,-0.218679,0.004063,0.184999
-0.209889,0.094448,0.22421,-0.219504,0.08828,0.163685
-0.152207,-0.00963,0.338915,-0.165541,-0.026709,0.279044
-0.142713,0.090765,0.318217,-0.17911,0.140533,0.28656
-0.180385,-0.002732,0.315632,-0.152892,-0.015836,0.278944
-0.192377,0.119124,0.264997,-0.213541,0.124207,0.200663
-0.212858,0.042365,0.235745,-0.204281,0.025357,0.218599
-0.192449,0.064427,0.246556,-0.187675,0.036335,0.248034
-0.180437,0.06755,0.26005,-0.197287,0.072467,0.247585
-0.189293,0.085363,0.259362,-0.197863,0.075736,0.247503
-0.188688,-0.037624,0.267442,-0.163531,-0.026848,0.249499
-0.192533,0.047457,0.241546,-0.172822,0.00822,0.251824
-0.185461,0.032365,0.248668,-0.171072,0.006079,0.251916
-0.085425,0.121544,0.369288,-0.127013,0.138554,0.349683
-0.183023,-0.047027,0.276385,-0.164721,-0.02995,0.251938
-0.222796,0.021535,0.275427,-0.184377,0.007283,0.280474
-0.166753,0.111771,0.348282,-0.177631,0.093091,0.309617
-0.158391,0.109097,0.31528,-0.173447,0.133738,0.296004
-0.179724,0.013824,0.311701,-0.206262,-0.005163,0.294808
-0.169987,0.024391,0.333226,-0.194577,-0.002151,0.304605
-0.205111,0.01757,0.333844,-0.181203,0.005812,0.307526
-0.178382,0.119404,0.286158,-0.206568,0.141707,0.227289
-0.184031,-0.075145,0.255664,-0.235125,-0.016058,0.199664
-0.187953,-0.037384,0.274937,-0.164297,-0.028301,0.254219
-0.2095,0.077187,0.222287,-0.218837,0.064488,0.175956
-0.203251,0.074826,0.226524,-0.211522,0.04968,0.193912
-0.121421,0.134493,0.355414,-0.161769,0.165326,0.303242
-0.185273,-0.012589,0.301554,-0.154391,-0.019219,0.27242
-0.080118,0.151487,0.376097,-0.119017,0.167982,0.345064
-0.12256,0.047172,0.374923,-0.139137,0.013516,0.316473
-0.231313,-0.019137,0.227895,-0.213658,-0.00202,0.229744
-0.146605,-0.009478,0.34767,-0.157443,-0.022727,0.281862
-0.227603,-0.048594,0.247954,-0.212568,-0.008403,0.257252
-0.184615,0.01434,0.304931,-0.15395,-0.008485,0.281238
-0.18575,0.027806,0.295075,-0.152788,-0.002797,0.280187
-0.210365,-0.011384,0.297412,-0.207889,-0.000578,0.293138
-0.201789,0.014547,0.310157,-0.205893,0.002723,0.299681
-0.115653,0.059864,0.378942,-0.157982,0.029228,0.336175
-0.145581,0.007384,0.375646,-0.173189,0.008499,0.318344
-0.205851,0.011777,0.327345,-0.177849,0.003322,0.302822
-0.108409,0.134647,0.364668,-0.154614,0.152613,0.320881
-0.218519,0.011816,0.287752,-0.182901,0.003388,0.286237
-0.142078,0.13826,0.342703,-0.185912,0.150028,0.277944
-0.221157,0.006307,0.255994,-0.190697,0.001262,0.261772
-0.117776,-0.062301,0.362394,-0.164557,-0.027673,0.273809
-0.17665,-0.044405,0.300706,-0.162146,-0.029763,0.264246
-0.132537,0.04736,0.358667,-0.141785,0.003283,0.308195
-0.139307,0.05838,0.369468,-0.179536,0.024293,0.332473
-0.19901,-0.062375,0.24255,-0.209791,-0.020803,0.211458
-0.173698,0.054067,0.278958,-0.162591,0.015838,0.283402
-0.188334,0.031743,0.241599,-0.183196,0.010189,0.222379
-0.1654,0.087107,0.298724,-0.161227,0.057256,0.305238
-0.073729,0.125022,0.371408,-0.123734,0.1694,0.342993
-0.1187,0.096671,0.346916,-0.137096,0.058261,0.33466
-0.088831,0.116886,0.388404,-0.133147,0.122179,0.352227
-0.125553,0.013578,0.407284,-0.160419,0.051337,0.346774
-0.179313,0.105073,0.287077,-0.183109,0.082527,0.290819
-0.147634,0.137632,0.335398,-0.18755,0.161318,0.264011
-0.150512,0.006079,0.342464,-0.158747,-0.022297,0.284442
-0.169959,0.098335,0.355019,-0.166362,0.067059,0.324965
-0.181763,-0.023934,0.304851,-0.156725,-0.023995,0.270318
-0.138478,-0.077589,0.354027,-0.207638,-0.015455,0.279198
-0.071569,0.11342,0.384354,-0.128766,0.136383,0.353703
-0.185616,0.075605,0.311405,-0.172492,0.05114,0.299427
-0.146744,0.110077,0.333463,-0.156978,0.091589,0.324318
-0.106814,0.139151,0.365295,-0.156578,0.162711,0.313288
-0.152401,0.091837,0.297477,-0.197904,0.149782,0.247119
-0.188924,0.07304,0.324975,-0.166135,0.03564,0.311602
-0.161658,-0.007722,0.374327,-0.173479,0.008118,0.31285
-0.100135,0.131871,0.366562,-0.148224,0.163661,0.322937
-0.144664,-0.041505,0.371401,-0.191764,-0.003161,0.302906
-0.121867,0.003021,0.395065,-0.157268,0.022083,0.329711
-0.163166,-0.034881,0.356814,-0.183073,-0.005386,0.298786
-0.216064,0.029335,0.253059,-0.192332,0.015345,0.251343
-0.208232,0.050003,0.240816,-0.201303,0.029317,0.224503
-0.218735,0.027888,0.252353,-0.187765,0.008169,0.264305
-0.204539,-0.048087,0.238012,-0.20215,-0.01956,0.223251
-0.16939,-0.064943,0.297512,-0.217109,-0.021939,0.253722
-0.140503,-0.083024,0.341396,-0.212367,-0.019837,0.264791
-0.214492,0.033444,0.248385,-0.195632,0.018598,0.242977
-0.217431,-0.001793,0.279834,-0.182316,-0.003529,0.280887
