I0,I1,I2,O0,O1,O2,O3,O4,O5,O6,FX,FY,FZ,E1,E2,E3,I3,I4,I5,I6,I7,I8
-9.973874,29.9605,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,48,128,605,49,131,609
-10.099738,-12.030351,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,237,128,538,237,127,530
-16.083791,13.537221,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,128,102,493,129,103,481
-19.872559,-4.554986,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,201,84,508,203,86,505
-4.125696,11.98196,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,91,126,492,91,126,490
-2.485056,-19.806742,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,229,133,503,230,133,478
-12.01433,14.136661,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,80,92,515,81,92,509
-17.880445,-8.768949,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,176,67,470,179,65,469
-14.569911,6.795841,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,96,106,511,96,106,535
4.597246,-20.906216,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,211,187,549,215,194,564
-19.879998,-2.619925,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,138,89,479,139,87,491
-19.445842,-20.860856,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,214,89,520,214,84,510
9.903726,11.126044,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,86,126,504,87,125,515
9.978413,-25.517155,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,248,124,537,248,127,549
-6.058376,18.352099,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,47,53,642,52,51,620
0.223883,-5.243858,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,152,83,464,154,81,466
4.000927,1.312963,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,141,129,432,142,129,437
9.802435,-8.614741,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,177,153,431,178,155,424
-14.314902,22.892257,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,33,47,639,37,49,622
-16.103582,-22.311194,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,241,42,544,245,37,561
9.150071,24.872364,28,-75.784047,24.73933,39.299668,97.996942,-1.304049,0,-10.14763,-0.194093,0.020884,0.317603,0.000002,0.000004,0.000003,85,206,606,90,198,583
-13.996753,14.822854,28,-75.784047,24.73933,39.299668,97.996942,-1.304049,0,-10.14763,-0.194093,0.020884,0.317603,0.000002,0.000004,0.000003,134,103,471,135,104,475
-11.276132,-7.914965,28,-75.784047,24.73933,39.299668,97.996942,-1.304049,0,-10.14763,-0.194093,0.020884,0.317603,0.000002,0.000004,0.000003,229,113,507,230,113,527
6.14513,-29.007158,28,-95,23.514507,67.960523,97.517401,34.75723,-12.448894,6.405698,-0.171662,-0.056804,0.343831,0.001111,0.021529,0.018498,169,134,485,168,138,656
-6.244743,0.851049,28,-95,23.514507,67.960523,97.517401,34.75723,-12.448894,6.405698,-0.171662,-0.056804,0.343831,0.001111,0.021529,0.018498,33,89,664,33,81,937
-10.698134,-28.90178,28,-95,23.514507,67.960523,97.517401,34.75723,-12.448894,6.405698,-0.171662,-0.056804,0.343831,0.001111,0.021529,0.018498,167,76,497,167,64,710
9.166766,12.531404,28,-92.629674,24.088605,54.52662,86.761352,-0.784823,0,-4.102448,-0.198862,-0.006987,0.339902,0,0.000001,0.000001,92,158,480,94,159,477
7.296144,-10.246479,28,-92.629674,24.088605,54.52662,86.761352,-0.784823,0,-4.102448,-0.198862,-0.006987,0.339902,0,0.000001,0.000001,188,152,443,189,153,438
-7.438895,-1.430777,28,-92.629674,24.088605,54.52662,86.761352,-0.784823,0,-4.102448,-0.198862,-0.006987,0.339902,0,0.000001,0.000001,155,92,433,156,91,417
-3.164491,-2.667247,28,-92.629674,24.088605,54.52662,86.761352,-0.784823,0,-4.102448,-0.198862,-0.006987,0.339902,0,0.000001,0.000001,157,103,422,158,102,426
7.109033,28.081704,28,-86.044193,24.680987,40.664898,91.063674,-1.463178,0,-7.553681,-0.193588,0.027423,0.348405,0.000001,0.000002,0.000002,85,135,480,85,132,497
5.763336,3.265402,28,-86.044193,24.680987,40.664898,91.063674,-1.463178,0,-7.553681,-0.193588,0.027423,0.348405,0.000001,0.000002,0.000002,190,129,439,190,128,448
-2.117438,27.613665,28,-86.044193,24.680987,40.664898,91.063674,-1.463178,0,-7.553681,-0.193588,0.027423,0.348405,0.000001,0.000002,0.000002,87,94,483,88,97,503
-8.926079,-9.261974,28,-86.044193,24.680987,40.664898,91.063674,-1.463178,0,-7.553681,-0.193588,0.027423,0.348405,0.000001,0.000002,0.000002,250,60,532,253,65,553
-6.360167,10.118408,28,-83.761773,24.156462,52.938772,93.627917,-0.674028,0,-6.422314,-0.195034,-0.013198,0.312685,0,0.000002,0.000002,92,141,517,93,142,519
-15.794007,-7.989288,28,-83.761773,24.156462,52.938772,93.627917,-0.674028,0,-6.422314,-0.195034,-0.013198,0.312685,0,0.000002,0.000002,167,104,465,168,104,462
-17.146263,8.455387,28,-83.761773,24.156462,52.938772,93.627917,-0.674028,0,-6.422314,-0.195034,-0.013198,0.312685,0,0.000002,0.000002,100,97,512,101,96,513
-17.25317,-17.040964,28,-83.761773,24.156462,52.938772,93.627917,-0.674028,0,-6.422314,-0.195034,-0.013198,0.312685,0,0.000002,0.000002,208,97,497,209,95,501
6.582299,27.670369,28,-78.095418,25.175724,29.08805,101.187037,-1.406212,0,-11.687635,-0.173509,0.055301,0.343541,0.000002,0.000002,0.000001,149,136,641,149,133,474
6.672105,2.825174,28,-78.095418,25.175724,29.08805,101.187037,-1.406212,0,-11.687635,-0.173509,0.055301,0.343541,0.000002,0.000002,0.000001,260,143,783,259,138,579
-14.141473,28.188772,28,-78.095418,25.175724,29.08805,101.187037,-1.406212,0,-11.687635,-0.173509,0.055301,0.343541,0.000002,0.000002,0.000001,151,51,704,151,66,503
7.34562,28.135966,28,-79.656575,25.143335,29.845974,99.857886,-2.679096,-0.000008,-11.139994,-0.174061,0.054696,0.347275,0.000007,0.000009,0.000007,147,131,641,146,129,475
8.142648,-5.292887,28,-79.656575,25.143335,29.845974,99.857886,-2.679096,-0.000008,-11.139994,-0.174061,0.054696,0.347275,0.000007,0.000009,0.000007,302,141,940,302,137,710
-18.986318,26.441414,28,-79.656575,25.143335,29.845974,99.857886,-2.679096,-0.000008,-11.139994,-0.174061,0.054696,0.347275,0.000007,0.000009,0.000007,159,18,787,160,41,542
6.964813,19.61371,28,-88.808335,24.386164,47.563749,88.58716,-0.679771,-0.074501,-5.911705,-0.19859,0.009258,0.343036,0.000001,0.000015,0.000011,89,144,459,90,143,479
5.150078,-29.192053,28,-88.808335,24.386164,47.563749,88.58716,-0.679771,-0.074501,-5.911705,-0.19859,0.009258,0.343036,0.000001,0.000015,0.000011,312,137,340,312,139,321
-11.324958,28.556196,28,-88.808335,24.386164,47.563749,88.58716,-0.679771,-0.074501,-5.911705,-0.19859,0.009258,0.343036,0.000001,0.000015,0.000011,43,59,587,45,65,585
-1.217446,-25.376124,28,-88.808335,24.386164,47.563749,88.58716,-0.679771,-0.074501,-5.911705,-0.19859,0.009258,0.343036,0.000001,0.000015,0.000011,296,107,619,297,107,617
1.695162,4.462358,28,-83.015208,24.437026,46.373575,92.771219,-0.948846,0,-7.129525,-0.19814,0.006011,0.325943,0.000002,0.00001,0.000008,150,149,455,152,149,454
7.185953,-28.308454,28,-83.015208,24.437026,46.373575,92.771219,-0.948846,0,-7.129525,-0.19814,0.006011,0.325943,0.000002,0.00001,0.000008,305,184,688,307,185,600
-15.904612,27.158685,28,-83.015208,24.437026,46.373575,92.771219,-0.948846,0,-7.129525,-0.19814,0.006011,0.325943,0.000002,0.00001,0.000008,44,74,599,45,80,595
-15.624547,-26.908121,28,-83.015208,24.437026,46.373575,92.771219,-0.948846,0,-7.129525,-0.19814,0.006011,0.325943,0.000002,0.00001,0.000008,299,77,672,300,72,673
8.680981,16.670266,28,-90.399778,24.525454,44.304353,87.80332,-1.173752,0,-5.841702,-0.195169,0.021331,0.355552,0,0.000002,0.000002,127,128,439,127,126,462
9.154775,-0.225984,28,-90.399778,24.525454,44.304353,87.80332,-1.173752,0,-5.841702,-0.195169,0.021331,0.355552,0,0.000002,0.000002,194,130,458,195,130,462
-1.688117,27.347575,28,-90.399778,24.525454,44.304353,87.80332,-1.173752,0,-5.841702,-0.195169,0.021331,0.355552,0,0.000002,0.000002,75,82,521,77,85,532
-10.185226,-14.386023,28,-90.399778,24.525454,44.304353,87.80332,-1.173752,0,-5.841702,-0.195169,0.021331,0.355552,0,0.000002,0.000002,262,38,624,268,43,638
4.379105,9.974026,31,-87.808324,24.524099,44.336082,93.081589,-1.108734,0,-7.204713,-0.183358,0.015722,0.347238,0,0.000002,0.000002,149,121,542,150,122,529
4.185926,-9.776983,31,-87.808324,24.524099,44.336082,93.081589,-1.108734,0,-7.204713,-0.183358,0.015722,0.347238,0,0.000002,0.000002,231,123,600,232,123,593
-16.720186,10.021296,31,-87.808324,24.524099,44.336082,93.081589,-1.108734,0,-7.204713,-0.183358,0.015722,0.347238,0,0.000002,0.000002,146,31,630,153,37,612
-7.365763,-19.312527,31,-87.808324,24.524099,44.336082,93.081589,-1.108734,0,-7.204713,-0.183358,0.015722,0.347238,0,0.000002,0.000002,280,66,756,283,68,761
-0.312335,-26.572777,31,-95,23.491879,68.490027,97.903932,-52.856443,-20.500164,2.301492,-0.169679,-0.041888,0.327989,0.000226,0.00514,0.004328,185,143,574,185,149,703
-15.81868,-27.307261,31,-95,23.491879,68.490027,97.903932,-52.856443,-20.500164,2.301492,-0.169679,-0.041888,0.327989,0.000226,0.00514,0.004328,189,87,589,188,78,713
-16.360188,23.641223,31,-74.433041,24.773567,38.498525,102.598352,-1.680048,0,-12.009503,-0.179368,0.021099,0.316016,0.000002,0.000006,0.000004,97,98,651,98,102,626
1.967386,9.286753,31,-74.433041,24.773567,38.498525,102.598352,-1.680048,0,-12.009503,-0.179368,0.021099,0.316016,0.000002,0.000006,0.000004,155,178,629,159,172,615
-19.598587,17.210922,31,-74.433041,24.773567,38.498525,102.598352,-1.680048,0,-12.009503,-0.179368,0.021099,0.316016,0.000002,0.000006,0.000004,124,89,623,125,92,599
-19.525923,7.529823,31,-74.433041,24.773567,38.498525,102.598352,-1.680048,0,-12.009503,-0.179368,0.021099,0.316016,0.000002,0.000006,0.000004,162,85,611,164,88,588
4.343625,19.635095,31,-95,23.710279,63.379468,95.133979,46.353212,-11.129874,5.759736,-0.177474,-0.031028,0.347816,0.000885,0.008831,0.008978,5,122,300,4,121,306
6.332148,-23.637908,31,-95,23.710279,63.379468,95.133979,46.353212,-11.129874,5.759736,-0.177474,-0.031028,0.347816,0.000885,0.008831,0.008978,198,129,558,198,130,585
3.150747,-0.131935,31,-95,23.710279,63.379468,95.133979,46.353212,-11.129874,5.759736,-0.177474,-0.031028,0.347816,0.000885,0.008831,0.008978,100,117,586,100,117,593
-10.079822,-24.247297,31,-95,23.710279,63.379468,95.133979,46.353212,-11.129874,5.759736,-0.177474,-0.031028,0.347816,0.000885,0.008831,0.008978,199,67,591,202,57,635
7.984778,-9.92758,31,-95,23.814022,60.951883,91.854568,-0.719485,-4.002261,-0.824198,-0.180994,-0.023456,0.335157,0,0.000005,0.000004,151,162,554,153,167,566
-2.917073,22.002852,31,-95,23.814022,60.951883,91.854568,-0.719485,-4.002261,-0.824198,-0.180994,-0.023456,0.335157,0,0.000005,0.000004,9,119,463,8,120,500
-10.15579,-14.272074,31,-95,23.814022,60.951883,91.854568,-0.719485,-4.002261,-0.824198,-0.180994,-0.023456,0.335157,0,0.000005,0.000004,171,89,539,173,86,540
0.99861,24.874711,31,-71.939043,24.966919,33.974089,105.586103,-2.33298,0,-12.774657,-0.173924,0.033323,0.317174,0.000003,0.000004,0.000002,118,174,686,121,166,634
3.753307,11.008801,31,-71.939043,24.966919,33.974089,105.586103,-2.33298,0,-12.774657,-0.173924,0.033323,0.317174,0.000003,0.000004,0.000002,173,191,700,178,180,630
-19.298115,15.797061,31,-71.939043,24.966919,33.974089,105.586103,-2.33298,0,-12.774657,-0.173924,0.033323,0.317174,0.000003,0.000004,0.000002,157,91,645,157,94,591
-17.845681,0.300033,31,-71.939043,24.966919,33.974089,105.586103,-2.33298,0,-12.774657,-0.173924,0.033323,0.317174,0.000003,0.000004,0.000002,223,92,709,224,95,641
5.801575,24.090029,31,-90.404656,24.361481,48.141327,91.184566,-1.114256,0,-6.249427,-0.184875,0.00697,0.347642,0.000001,0.000002,0.000002,64,130,640,65,128,625
7.193901,-27.683419,31,-90.404656,24.361481,48.141327,91.184566,-1.114256,0,-6.249427,-0.184875,0.00697,0.347642,0.000001,0.000002,0.000002,305,135,725,305,137,689
-11.945753,10.54612,31,-90.404656,24.361481,48.141327,91.184566,-1.114256,0,-6.249427,-0.184875,0.00697,0.347642,0.000001,0.000002,0.000002,127,51,587,132,54,588
-0.445711,-2.604713,31,-90.404656,24.361481,48.141327,91.184566,-1.114256,0,-6.249427,-0.184875,0.00697,0.347642,0.000001,0.000002,0.000002,179,98,548,181,99,522
9.273884,19.012054,31,-95,23.790959,61.491543,94.613187,30.709232,-12.729242,6.434459,-0.178593,-0.027314,0.355476,0.001173,0.010592,0.011511,12,127,673,12,126,735
8.938954,-20.129146,31,-95,23.790959,61.491543,94.613187,30.709232,-12.729242,6.434459,-0.178593,-0.027314,0.355476,0.001173,0.010592,0.011511,191,124,569,191,125,598
5.902258,5.413015,31,-95,23.790959,61.491543,94.613187,30.709232,-12.729242,6.434459,-0.178593,-0.027314,0.355476,0.001173,0.010592,0.011511,82,113,623,82,112,647
2.116032,-27.07092,31,-95,23.790959,61.491543,94.613187,30.709232,-12.729242,6.434459,-0.178593,-0.027314,0.355476,0.001173,0.010592,0.011511,222,97,608,223,94,628
8.256266,22.975706,31,-73.667446,25.039696,32.271091,105.223998,-2.021227,0,-12.836251,-0.170805,0.040036,0.325308,0.000001,0.000001,0.000001,142,190,737,144,177,620
-13.034983,26.21904,31,-73.667446,25.039696,32.271091,105.223998,-2.021227,0,-12.836251,-0.170805,0.040036,0.325308,0.000001,0.000001,0.000001,130,98,688,129,103,585
-14.785987,-9.702939,31,-73.667446,25.039696,32.271091,105.223998,-2.021227,0,-12.836251,-0.170805,0.040036,0.325308,0.000001,0.000001,0.000001,294,87,970,294,91,842
6.014536,-17.730856,31,-95,23.631496,65.222979,96.269645,-61.750967,-20.718785,1.382687,-0.17425,-0.036755,0.342077,0.000683,0.009042,0.008584,158,139,546,158,143,600
-6.991123,-0.941423,31,-95,23.631496,65.222979,96.269645,-61.750967,-20.718785,1.382687,-0.17425,-0.036755,0.342077,0.000683,0.009042,0.008584,89,91,611,90,86,680
-15.883787,-23.279624,31,-95,23.631496,65.222979,96.269645,-61.750967,-20.718785,1.382687,-0.17425,-0.036755,0.342077,0.000683,0.009042,0.008584,181,57,594,183,43,665
4.731172,4.78235,31,-95,23.725696,63.018689,94.680974,22.750443,-13.658837,6.635442,-0.178808,-0.028414,0.347607,0.000829,0.007461,0.007698,82,124,599,82,124,607
5.537778,-21.249437,31,-95,23.725696,63.018689,94.680974,22.750443,-13.658837,6.635442,-0.178808,-0.028414,0.347607,0.000829,0.007461,0.007698,193,126,548,194,128,538
-15.351844,3.795837,31,-95,23.725696,63.018689,94.680974,22.750443,-13.658837,6.635442,-0.178808,-0.028414,0.347607,0.000829,0.007461,0.007698,81,42,688,88,32,700
-3.511438,-19.741635,31,-95,23.725696,63.018689,94.680974,22.750443,-13.658837,6.635442,-0.178808,-0.028414,0.347607,0.000829,0.007461,0.007698,186,89,553,187,84,576
-0.341952,26.745095,31,-76.988486,25.056353,31.881332,103.56415,-2.236009,-0.000537,-12.201972,-0.168356,0.044189,0.336002,0.000021,0.000016,0.000021,138,127,675,138,125,556
3.641211,12.060515,31,-76.988486,25.056353,31.881332,103.56415,-2.236009,-0.000537,-12.201972,-0.168356,0.044189,0.336002,0.000021,0.000016,0.000021,196,146,711,196,140,576
-19.267774,29.217316,31,-76.988486,25.056353,31.881332,103.56415,-2.236009,-0.000537,-12.201972,-0.168356,0.044189,0.336002,0.000021,0.000016,0.000021,126,46,775,126,63,607
-2.629462,9.780122,31,-76.988486,25.056353,31.881332,103.56415,-2.236009,-0.000537,-12.201972,-0.168356,0.044189,0.336002,0.000021,0.000016,0.000021,207,115,701,206,115,583
6.848204,27.5774,24,-84.555045,24.699743,40.225992,85.961375,-1.055159,0,-6.058715,-0.216698,0.031363,0.341502,0,0.000001,0.000002,86,147,350,88,144,360
2.425859,9.082999,24,-84.555045,24.699743,40.225992,85.961375,-1.055159,0,-6.058715,-0.216698,0.031363,0.341502,0,0.000001,0.000002,164,129,306,164,128,325
-6.465157,16.802008,24,-84.555045,24.699743,40.225992,85.961375,-1.055159,0,-6.058715,-0.216698,0.031363,0.341502,0,0.000001,0.000002,136,93,306,137,95,328
-5.010341,-6.325448,24,-84.555045,24.699743,40.225992,85.961375,-1.055159,0,-6.058715,-0.216698,0.031363,0.341502,0,0.000001,0.000002,235,94,351,235,95,373
-5.171354,23.142278,24,-92.482081,23.895956,59.034621,81.521912,-0.173775,0,-2.320286,-0.220861,-0.014352,0.326009,0.000001,0.000025,0.000019,27,119,455,27,121,443
-2.232862,-26.955186,24,-92.482081,23.895956,59.034621,81.521912,-0.173775,0,-2.320286,-0.220861,-0.014352,0.326009,0.000001,0.000025,0.000019,258,133,397,259,133,395
-14.216954,25.554644,24,-92.482081,23.895956,59.034621,81.521912,-0.173775,0,-2.320286,-0.220861,-0.014352,0.326009,0.000001,0.000025,0.000019,12,76,502,13,78,489
-17.093137,-9.426031,24,-92.482081,23.895956,59.034621,81.521912,-0.173775,0,-2.320286,-0.220861,-0.014352,0.326009,0.000001,0.000025,0.000019,174,68,343,176,66,325
-2.583602,-22.047392,34,-91.440162,23.909318,58.721952,96.818097,-1.202619,0,-5.835399,-0.167181,-0.025227,0.323745,0.000001,0.000004,0.000002,198,146,711,199,150,774
-10.275425,1.71343,34,-91.440162,23.909318,58.721952,96.818097,-1.202619,0,-5.835399,-0.167181,-0.025227,0.323745,0.000001,0.000004,0.000002,99,116,730,100,116,788
-15.988808,-24.676377,34,-91.440162,23.909318,58.721952,96.818097,-1.202619,0,-5.835399,-0.167181,-0.025227,0.323745,0.000001,0.000004,0.000002,211,95,732,212,89,781
-9.133672,27.598635,34,-85.259679,24.162264,52.803007,99.299495,-1.601301,0,-7.73899,-0.170172,-0.013979,0.318731,0.000001,0.000004,0.000002,4,130,268,4,137,334
-7.875587,-19.733111,34,-85.259679,24.162264,52.803007,99.299495,-1.601301,0,-7.73899,-0.170172,-0.013979,0.318731,0.000001,0.000004,0.000002,214,135,742,215,136,774
-16.607942,17.25414,34,-85.259679,24.162264,52.803007,99.299495,-1.601301,0,-7.73899,-0.170172,-0.013979,0.318731,0.000001,0.000004,0.000002,49,97,898,50,99,930
-11.326783,-22.830451,34,-85.259679,24.162264,52.803007,99.299495,-1.601301,0,-7.73899,-0.170172,-0.013979,0.318731,0.000001,0.000004,0.000002,229,121,775,230,120,821
9.977154,12.474684,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,57,122,827,58,122,887
9.954106,-10.507793,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,157,122,664,158,123,705
9.244528,-5.881462,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,145,120,663,146,120,716
-12.440181,-22.761644,34,-95,23.873112,59.56917,96.798336,-60.496953,-20.611388,1.672935,-0.169187,-0.020502,0.357452,0.000396,0.00796,0.009116,210,34,828,218,20,924
-13.651239,12.050012,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,86,110,768,87,111,804
-10.496413,-5.82498,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,160,124,700,161,124,718
-19.903919,3.869941,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,124,89,729,126,88,745
-19.32146,-12.921683,34,-83.481666,24.248781,50.778521,100.031706,-0.776535,0,-8.710317,-0.170857,-0.009662,0.317826,0.000001,0.000002,0,192,89,730,193,86,755
